,title,id,language,ontologyId,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.street,address.postalCode,position.lat,position.lng,contacts,address.subdistrict
10,Royal Palms Estate & Properties,here:pds:place:356te7v6-7424bd059ac945ec9d562343a4355614,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.16259, 'lng': 72.85786}]",6675,"[{'id': '700-7400-0145', 'name': 'Real Estate Services', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Royal Palms Estate & Properties, Service Road, Goregaon East, Mumbai 400063, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Goregaon East,Service Road,400063,19.16284,72.85792,"[{'phone': [{'value': '+912261462000'}], 'www': [{'value': 'http://www.royalpalmsindia.com'}]}]",
11,Sana Guest House,here:pds:place:356te7uc-643359fa033fcf8daed1ed542792b39c,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12371, 'lng': 72.84661}]",7085,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Sana Guest House, S V Road, Andheri West, Mumbai 400058, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Andheri West,S V Road,400058,19.1237,72.84665,[{'phone': [{'value': '+912232156639'}]}],
12,Twinkle Service Apartment,here:pds:place:356te7uc-7c88537101df4ea6a68850a645d36a34,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.14636, 'lng': 72.84588}]",7222,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Twinkle Service Apartment, Oshiwara Garden Road, Oshiwara Garden, Jogeshwari West, Mumbai 400102, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Jogeshwari West,Oshiwara Garden Road,400102,19.1462,72.8459,"[{'phone': [{'value': '+919819099019'}], 'www': [{'value': 'http://Www.twinkleapartments.com'}]}]",Oshiwara Garden
13,Strawberry Vacations,here:pds:place:356te7u9-956d7d7d767748078ab88eb42c3cc8c9,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.0962, 'lng': 72.85414}]",7459,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Strawberry Vacations, Nehru Road, Vile Parle East, Mumbai 400099, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Vile Parle East,Nehru Road,400099,19.09629,72.85416,"[{'phone': [{'value': '+919664666457'}], 'www': [{'value': 'http://www.strawberryvacations.com'}]}]",
14,La Maison Hospitality,here:pds:place:356te7u9-d7b0a51c06674bbebbb9cbfd6687bc56,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.10195, 'lng': 72.84543}]",7937,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","La Maison Hospitality, Parleshwar Marg, Navpada, Vile Parle East, Mumbai 400057, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Vile Parle East,Parleshwar Marg,400057,19.10186,72.84553,"[{'phone': [{'value': '+919930122614'}], 'www': [{'value': 'http://www.lamaisonserviceapartments.com'}]}]",Navpada
15,Oshi,here:pds:place:356te7uc-7a52de251c97490b87566617827a7298,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.14885, 'lng': 72.83944}]",7962,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Oshi, Oshiwara, Jogeshwari West, Mumbai 400102, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Jogeshwari West,,400102,19.14888,72.8393,,Oshiwara
16,BBJ Verona Proposed,here:pds:place:356te7uc-70596e9c0e29441e8897bb15e54f9e19,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.14886, 'lng': 72.8389}]",7991,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","BBJ Verona Proposed, Oshiwara, Jogeshwari West, Mumbai 400102, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Jogeshwari West,,400102,19.14887,72.83901,,Oshiwara
17,Bhagat Enterprises,here:pds:place:356te7uu-e5b5ef67de46464d94b4447689df318c,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12502, 'lng': 72.98942}]",8067,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7200-0344', 'name': 'Property Management'}, {'id': '700-7400-0145', 'name': 'Real Estate Services'}]","Bhagat Enterprises, Gagangiri Maharaj Marg, Sector 15, Ghansoli, Navi Mumbai 400701, India",IND,India,MH,Maharashtra,Thane,Navi Mumbai,Ghansoli,Gagangiri Maharaj Marg,400701,19.12502,72.98957,[{'phone': [{'value': '+919987140408'}]}],Sector 15
18,Shri Rajal Enclave,here:pds:place:356te7uu-f38c09714adc4ff69f500a97dfc874cc,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.1251, 'lng': 72.9894}]",8088,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Shri Rajal Enclave, Gagangiri Maharaj Marg, Sector 15, Ghansoli, Navi Mumbai 400701, India",IND,India,MH,Maharashtra,Thane,Navi Mumbai,Ghansoli,Gagangiri Maharaj Marg,400701,19.12511,72.98979,,Sector 15
19,Mo Sai Ram Real Estate,here:pds:place:356te7uu-c9688969b93840a7b7538395b6b6ba74,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12551, 'lng': 72.99024}]",8157,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Mo Sai Ram Real Estate, Sector 15, Ghansoli, Navi Mumbai 400701, India",IND,India,MH,Maharashtra,Thane,Navi Mumbai,Ghansoli,,400701,19.12559,72.9905,[{'phone': [{'value': '+91983387393'}]}],Sector 15
